Well-known ID;Name;prj
2000;Anguilla_1957_British_West_Indies_Grid;"PROJCS[""Anguilla_1957_British_West_Indies_Grid"",GEOGCS[""GCS_Anguilla_1957"",DATUM[""D_Anguilla_1957"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",400000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-62.0],PARAMETER[""Scale_Factor"",0.9995],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2001;Antigua_1943_British_West_Indies_Grid;"PROJCS[""Antigua_1943_British_West_Indies_Grid"",GEOGCS[""GCS_Antigua_1943"",DATUM[""D_Antigua_1943"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",400000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-62.0],PARAMETER[""Scale_Factor"",0.9995],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2002;Dominica_1945_British_West_Indies_Grid;"PROJCS[""Dominica_1945_British_West_Indies_Grid"",GEOGCS[""GCS_Dominica_1945"",DATUM[""D_Dominica_1945"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",400000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-62.0],PARAMETER[""Scale_Factor"",0.9995],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2003;Grenada_1953_British_West_Indies_Grid;"PROJCS[""Grenada_1953_British_West_Indies_Grid"",GEOGCS[""GCS_Grenada_1953"",DATUM[""D_Grenada_1953"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",400000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-62.0],PARAMETER[""Scale_Factor"",0.9995],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2004;Montserrat_1958_British_West_Indies_Grid;"PROJCS[""Montserrat_1958_British_West_Indies_Grid"",GEOGCS[""GCS_Montserrat_1958"",DATUM[""D_Montserrat_1958"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",400000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-62.0],PARAMETER[""Scale_Factor"",0.9995],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2005;St_Kitts_1955_British_West_Indies_Grid;"PROJCS[""St_Kitts_1955_British_West_Indies_Grid"",GEOGCS[""GCS_St_Kitts_1955"",DATUM[""D_St_Kitts_1955"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",400000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-62.0],PARAMETER[""Scale_Factor"",0.9995],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2006;St_Lucia_1955_British_West_Indies_Grid;"PROJCS[""St_Lucia_1955_British_West_Indies_Grid"",GEOGCS[""GCS_St_Lucia_1955"",DATUM[""D_St_Lucia_1955"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",400000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-62.0],PARAMETER[""Scale_Factor"",0.9995],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2007;St_Vincent_1945_British_West_Indies_Grid;"PROJCS[""St_Vincent_1945_British_West_Indies_Grid"",GEOGCS[""GCS_St_Vincent_1945"",DATUM[""D_St_Vincent_1945"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",400000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-62.0],PARAMETER[""Scale_Factor"",0.9995],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2008;NAD_1927_CGQ77_MTM_2_SCoPQ;"PROJCS[""NAD_1927_CGQ77_MTM_2_SCoPQ"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-55.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2009;NAD_1927_CGQ77_MTM_3_SCoPQ;"PROJCS[""NAD_1927_CGQ77_MTM_3_SCoPQ"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-58.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
